"p_group3","model","RMSE","MAE","MAPE","MDAPE","Bias"
"mid","Generic PC",0.218860598061724,0.176407206732039,183.8951985028,48.0740523099431,0.10760439545179
"mid","QM",0.172700909995671,0.126258459587111,82.7283737661874,36.8486476632567,-0.0451946777900625
"mid","GB LM",0.164750140004332,0.128544035728921,146.415666702421,34.3620624500779,-0.0227321181220126
"mid","Linear model",0.153138584115904,0.116708504857972,100.829055142115,32.4429374357694,-0.013591171588736
"mid","LM bru model",0.149933737971616,0.1143611362299,112.416083796696,31.2638987850627,-0.0133963210362122
"mid","ST model coarser",0.110483124397994,0.0832998586590908,81.0705393993342,23.0099587693255,-6.82273612765019e-05
"low","Generic PC",0.144508820046126,0.0946576092388379,699.100597707232,84.1739458460819,0.0663751728806136
"low","GB LM",0.0948205621216546,0.0658311031845929,651.73074566038,64.0866855278447,0.0234115172055733
"low","QM",0.0926508213256145,0.0583905253385219,228.920537812859,69.5007933400992,-0.00775065941104809
"low","Linear model",0.0917374204336865,0.0658943804250153,636.241126235472,71.591879658233,0.0278807441819632
"low","LM bru model",0.0901594401743027,0.0644163282937892,583.085481556514,69.5087131459788,0.0282539439474925
"low","ST model coarser",0.0623191836973397,0.0432174423667607,306.456220978629,46.6071760294838,0.00379984097030035
