"p_group3","model","RMSE","MAE","MAPE","MDAPE","Bias"
"mid","Generic PC",0.218860598061724,0.176407206732039,183.8951985028,48.0740523099431,0.10760439545179
"mid","QM",0.172700909995671,0.126258459587111,82.7283737661874,36.8486476632567,-0.0451946777900625
"mid","GB LM",0.164750140004332,0.128544035728921,146.415666702421,34.3620624500779,-0.0227321181220126
"mid","Linear model",0.153138584115904,0.116708504857972,100.829055142115,32.4429374357694,-0.013591171588736
"mid","LM bru model",0.14993158238335,0.11435810339167,112.431823467904,31.2906350709982,-0.0133977351585003
"mid","ST model coarser",0.110500621715975,0.0833267234125668,80.877080420657,23.0698173737484,-7.31106730734691e-05
"low","Generic PC",0.144508820046126,0.0946576092388379,699.100597707232,84.1739458460819,0.0663751728806136
"low","GB LM",0.0948205621216546,0.0658311031845929,651.73074566038,64.0866855278447,0.0234115172055733
"low","QM",0.0926508213256145,0.0583905253385219,228.920537812859,69.5007933400992,-0.00775065941104809
"low","Linear model",0.0917374204336865,0.0658943804250153,636.241126235472,71.591879658233,0.0278807441819632
"low","LM bru model",0.0901565697442137,0.0644147041993582,582.616940925633,69.4763813392281,0.0282566526465858
"low","ST model coarser",0.0623066264054223,0.0432149778904233,307.499843764179,46.6392398687917,0.00381184468257934
