"dist_coast_g4","model","RMSE","MAE","MAPE","MDAPE","Bias"
"[0.382,11.5]","GB LM",0.248572552850945,0.18191425422333,24.5198776547531,18.4350660802898,-0.106204902887207
"[0.382,11.5]","Generic PC",0.236111832056824,0.193115799469201,31.6204747298466,20.0552258362824,0.176090637734236
"[0.382,11.5]","QM",0.18150844230998,0.141557834255923,22.3352648774885,14.8204992626489,0.0743067583770774
"[0.382,11.5]","Linear model",0.139189517027072,0.110322975829391,17.006543412225,11.6450757240006,0.00453586334614328
"[0.382,11.5]","LM bru model",0.137758761839762,0.111940797051017,16.9889689196486,11.9151266984337,-0.000324024538506596
"[0.382,11.5]","ST model coarser",0.110337948298684,0.0861657142289385,12.9346333596906,9.29966945624308,0.000578210375469532
"(11.5,20.6]","Generic PC",0.195108687626756,0.146595422458784,29.7549992163543,14.1575803437973,0.105009252729136
"(11.5,20.6]","GB LM",0.190485793380219,0.155390226751013,41.1083673157475,16.8692018842776,-0.107151337710075
"(11.5,20.6]","QM",0.16586570216786,0.126449449824431,22.8436765750746,12.3866960866287,-0.028605039971183
"(11.5,20.6]","Linear model",0.147023651871277,0.11948702134821,42.5379787664038,11.6141613741324,-0.0306086736842019
"(11.5,20.6]","LM bru model",0.142485203968465,0.11235983505934,41.4224020121121,9.74237834968883,5.99460660655007e-05
"(11.5,20.6]","ST model coarser",0.112448767650625,0.0810069823805456,65.2198537352136,7.05316518739782,-0.00123545785353562
"(20.6,32.9]","Generic PC",0.211040133620475,0.1721226021007,38.5819400257303,19.5020166497829,0.144035032556479
"(20.6,32.9]","QM",0.147076361460214,0.111153686951361,24.7592646587453,12.1215987125538,0.00657705759517763
"(20.6,32.9]","GB LM",0.146017263128416,0.117985922420606,24.4255995717483,14.2263615758809,-0.0483518167992824
"(20.6,32.9]","Linear model",0.143107977794488,0.108948419841799,30.9974776489556,11.0200021847816,0.0365772301665064
"(20.6,32.9]","LM bru model",0.136006476921042,0.107871685829423,28.5659560002668,11.5403326573714,0.00509006448491021
"(20.6,32.9]","ST model coarser",0.12121945051979,0.0937155621958507,24.1660143714505,10.352453574211,0.00459774815592074
"(32.9,212]","Generic PC",0.19003951862652,0.142541685594272,24.9002942633233,13.7701168383004,0.0874971945701527
"(32.9,212]","GB LM",0.189598608289028,0.159514466970279,22.8287322136182,19.0349201116085,-0.117037944988296
"(32.9,212]","QM",0.180821266064284,0.14489640932657,21.901966834184,15.9213919684088,-0.06018153145165
"(32.9,212]","Linear model",0.143982826247243,0.112291884570885,20.0968536527107,11.9308198366511,-0.0118147050665116
"(32.9,212]","LM bru model",0.142808937398235,0.111191026752579,20.5510108867901,11.36704159904,-0.00500630246038237
"(32.9,212]","ST model coarser",0.127790311183376,0.0965239371607736,17.6027721003451,9.52339135528708,-0.00452057481915247
