"p_group3","model","RMSE","MAE","MAPE","MDAPE","Bias"
"mid","Generic PC",0.205325106375865,0.165133461823177,478.464866900385,60.0884547008478,0.103294565991756
"mid","QM",0.164472402664235,0.121673694935947,216.168865426749,45.8154926201865,-0.020032993489728
"mid","GB LM",0.149320285596073,0.113484803920931,350.793620281269,41.4427007574205,0.00674051271089441
"mid","Linear model",0.137737828943255,0.100859901787274,247.173732474565,36.0869783038219,-0.0241012454030244
"mid","LM bru model",0.133643042945899,0.0979594273861777,250.052274944539,34.7149539486464,-0.0244820922169018
"mid","ST model coarser",0.107896133084819,0.079298895569946,370.826484013957,27.7920897342656,-6.6655748730352e-05
"low","Generic PC",0.159389178247737,0.116349405976174,372.652692937941,74.6779632472432,0.0831426791858013
"low","QM",0.112854141670093,0.0781595389314499,150.81843250447,52.9284245436326,-0.00561493175626412
"low","GB LM",0.107966699648454,0.0789933493684914,927.979742880651,51.4860266708322,0.0267764663514899
"low","Linear model",0.0980619240118652,0.0718747056422081,278.667595133711,49.5989197804294,0.0121027284375401
"low","LM bru model",0.0965519044192304,0.0704909985013274,303.272240807776,47.1281503899981,0.0125478495401855
"low","ST model coarser",0.0694448829296,0.0494593337240107,214.15275973074,33.4745944618977,0.000963067517463039
