"p_group3","model","RMSE","MAE","MAPE","MDAPE","Bias"
"high","Generic PC",0.218277095806173,0.174678421820771,46.9542185885183,22.2608085763493,0.114743774125387
"high","GB LM",0.189469695579671,0.151177148239567,34.6327758590069,19.0697805297576,-0.0842973223162549
"high","QM",0.185754286605695,0.142442774513554,32.8474317513171,18.3422708565278,-0.0190105880177909
"high","Linear model",0.162487302975853,0.126830181269547,35.8368515679856,14.8607261639497,-0.0205059691665397
"high","LM bru model",0.158057066598415,0.123865116465294,33.2710779176413,14.5694830579352,-0.0199581836706226
"high","ST model coarser",NA,NA,110.707590886785,99.9799358862294,-0.420980955519034
"mid","Generic PC",0.207516987778609,0.161333857170704,217.193987213798,51.0524755530288,0.0885874812680448
"mid","QM",0.168606233564582,0.122120557543906,95.4983865472549,40.8799397263718,-0.0262058173078962
"mid","GB LM",0.161323864398761,0.118847836521765,197.523259607595,36.0332755456784,-0.0266761267496532
"mid","Linear model",0.150437535983054,0.114903557552873,230.358144472979,35.6442959104477,0.00861633071804273
"mid","LM bru model",0.147021335368059,0.112512274238499,247.337605435394,35.2895248567662,0.00865419246193327
"mid","ST model coarser",NA,NA,617.260166472946,99.9996759352145,-0.077138436160587
