"elevation_g4","model","RMSE","MAE","MAPE","MDAPE","Bias"
"0","Generic PC",0.401829843126698,0.300444632342503,56.6469380573239,23.049513744114,0.30043621510673
"0","QM",0.308521382965713,0.200339881552208,35.4426661178116,10.4514402288709,0.159719762815963
"0","GB LM",0.268232189153256,0.202497652259544,30.2923043672698,19.315370948946,0.00586448585300193
"0","Linear model",0.223736464416099,0.174118869996082,31.5824842224836,17.5837784138623,0.002896634402433
"0","Spatio-temporal model",0.0938450393475321,0.0664684395683995,13.3537240986031,6.90447152542752,0.000880912795930246
"[3,210]","Generic PC",0.440754586896367,0.352120153667512,474.596340190844,47.2592029569531,0.334534694928241
"[3,210]","QM",0.329488140240575,0.254436616466775,151.699436055905,34.7126195482605,0.060277523930976
"[3,210]","GB LM",0.299487999038206,0.241862057105514,344.505072205187,27.9846923630112,0.110341034424065
"[3,210]","Linear model",0.274693851394196,0.226568351789898,334.210356904659,32.060132603544,-0.00826720672323377
"[3,210]","Spatio-temporal model",0.164130133510331,0.11505505377031,154.142944397606,14.7038390398558,0.0112154382069957
"(210,327]","Generic PC",0.386093180321095,0.304711463721665,159.905025189046,43.4432955850977,0.28021588170821
"(210,327]","QM",0.307100198321877,0.243319511535556,74.0007708710749,35.5502763131382,-0.0273207631509072
"(210,327]","GB LM",0.26238500846832,0.208506101226429,112.576514248639,26.6026898052978,0.0705391356528551
"(210,327]","Linear model",0.246653721813228,0.201702675662171,110.692367947974,29.2183088126326,0.013032005043786
"(210,327]","Spatio-temporal model",0.155227899082118,0.122176237166488,64.2925248715545,18.5698247834079,0.00163005246176158
"(327,725]","QM",0.34884543893744,0.28052221620222,46.8555773375472,37.9727581991446,-0.18390865471788
"(327,725]","Generic PC",0.308823990114473,0.234641105528832,55.0573060614913,28.6003771794478,0.156458209458292
"(327,725]","GB LM",0.248222624708988,0.195960119565787,39.9617330077623,24.5974577574445,-0.0363784675215679
"(327,725]","Linear model",0.231444312484877,0.183195238004576,41.1730457979693,23.1248716134362,-0.00671322573220581
"(327,725]","Spatio-temporal model",0.178319844788876,0.139031547808069,26.8511443973271,18.0501639021613,-0.0138973213053262
